seed,batch,round,sequence,position,target_token,active_cells,nll_full,nll_keep80,nll_keep60,nll_keep40,nll_remove4,kept80,kept60,kept40,kept_remove4,marginal_last20,marginal_last4,utility_full_to40
1337,1,4,0,104,43,27,1.1742931604385376,1.1983318328857422,1.136053442955017,1.576589822769165,1.1966359615325928,22,16,11,23,0.02403867244720459,0.022342801094055176,0.40229666233062744
1337,1,4,1,15,57,24,2.5902886390686035,2.5227456092834473,2.5034077167510986,6.758601665496826,2.546865463256836,19,14,10,20,-0.06754302978515625,-0.04342317581176758,4.168313026428223
1337,1,4,2,94,53,22,1.1394857168197632,1.1498502492904663,1.1083176136016846,1.1421875953674316,1.1498502492904663,18,13,9,18,0.010364532470703125,0.010364532470703125,0.002701878547668457
1337,1,4,3,51,57,22,2.891537666320801,4.054834365844727,7.4441728591918945,7.53594446182251,4.054834365844727,18,13,9,18,1.1632966995239258,1.1632966995239258,4.644406795501709
1337,1,4,4,89,52,27,3.930210590362549,3.565753221511841,4.368731498718262,4.212785720825195,3.807206630706787,22,16,11,23,-0.364457368850708,-0.12300395965576172,0.2825751304626465
1337,1,4,5,94,43,20,2.5777809619903564,2.578953266143799,2.5727124214172363,1.7065362930297852,2.578953266143799,16,12,8,16,0.0011723041534423828,0.0011723041534423828,-0.8712446689605713
1337,1,4,6,73,47,13,2.784419536590576,2.540146589279175,2.455467700958252,2.5599606037139893,2.4803993701934814,10,8,5,9,-0.24427294731140137,-0.3040201663970947,-0.22445893287658691
1337,1,4,7,74,59,20,0.8282589912414551,0.7975605726242065,1.1438822746276855,1.2515769004821777,0.7975605726242065,16,12,8,16,-0.030698418617248535,-0.030698418617248535,0.42331790924072266
1337,1,5,0,15,39,25,1.8860235214233398,1.8647925853729248,1.7590100765228271,1.586246132850647,1.8644740581512451,20,15,10,21,-0.02123093605041504,-0.021549463272094727,-0.29977738857269287
1337,1,5,1,100,58,18,1.3256990909576416,1.3400137424468994,2.1709632873535156,3.225985050201416,1.3400137424468994,14,11,7,14,0.014314651489257812,0.014314651489257812,1.9002859592437744
1337,1,5,2,48,13,16,2.4244189262390137,3.277688503265381,2.9143381118774414,3.0872881412506104,3.275803804397583,13,10,6,12,0.8532695770263672,0.8513848781585693,0.6628692150115967
1337,1,5,3,118,11,18,4.367924690246582,4.358664512634277,4.14232873916626,3.6780688762664795,4.358664512634277,14,11,7,14,-0.009260177612304688,-0.009260177612304688,-0.6898558139801025
1337,1,5,4,95,58,23,1.9768028259277344,1.9530038833618164,1.9224779605865479,3.560152292251587,1.982130527496338,18,14,9,19,-0.02379894256591797,0.005327701568603516,1.5833494663238525
1337,1,5,5,95,56,21,2.2064197063446045,3.7924611568450928,4.841669082641602,4.688776969909668,3.7924611568450928,17,13,8,17,1.5860414505004883,1.5860414505004883,2.4823572635650635
1337,1,5,6,123,46,22,2.6013927459716797,2.528809070587158,5.356587886810303,5.520605087280273,2.528809070587158,18,13,9,18,-0.07258367538452148,-0.07258367538452148,2.9192123413085938
1337,1,5,7,118,42,27,0.1562550663948059,0.16240598261356354,0.1730222851037979,0.5894826054573059,0.15764205157756805,22,16,11,23,0.006150916218757629,0.001386985182762146,0.4332275390625
1337,1,6,0,96,44,24,0.5873976945877075,0.525775671005249,8.356432914733887,5.190995216369629,0.5282149314880371,19,14,10,20,-0.061622023582458496,-0.05918276309967041,4.603597521781921
1337,1,6,1,124,58,22,1.9685596227645874,1.997851848602295,2.5956645011901855,2.444399356842041,1.997851848602295,18,13,9,18,0.02929222583770752,0.02929222583770752,0.4758397340774536
1337,1,6,2,16,10,20,0.24937565624713898,0.27597612142562866,0.30037328600883484,1.359220027923584,0.27597612142562866,16,12,8,16,0.026600465178489685,0.026600465178489685,1.109844371676445
1337,1,6,3,111,46,24,3.3985674381256104,3.572537422180176,4.708886623382568,3.154409885406494,3.495349884033203,19,14,10,20,0.17396998405456543,0.09678244590759277,-0.2441575527191162
1337,1,6,4,72,47,27,2.618964672088623,2.6144652366638184,2.688551425933838,2.030332565307617,2.618361711502075,22,16,11,23,-0.0044994354248046875,-0.0006029605865478516,-0.5886321067810059
1337,1,6,5,114,32,19,1.4227018356323242,1.3153647184371948,1.1824369430541992,1.1865854263305664,1.3153647184371948,15,11,8,15,-0.1073371171951294,-0.1073371171951294,-0.2361164093017578
1337,1,6,6,25,39,24,2.759230613708496,2.7934813499450684,2.9362149238586426,3.9815096855163574,2.8447272777557373,19,14,10,20,0.034250736236572266,0.08549666404724121,1.2222790718078613
1337,1,6,7,83,47,24,3.1162805557250977,3.107724189758301,3.0673489570617676,1.6168689727783203,3.114499092102051,19,14,10,20,-0.008556365966796875,-0.001781463623046875,-1.4994115829467773
1337,1,7,0,74,46,24,0.22231370210647583,0.28541815280914307,0.5099488496780396,1.614853024482727,0.2766488194465637,19,14,10,20,0.06310445070266724,0.05433511734008789,1.3925393223762512
1337,1,7,1,80,56,25,3.1080892086029053,3.118800640106201,4.931656360626221,5.889983654022217,3.142138719558716,20,15,10,21,0.010711431503295898,0.03404951095581055,2.7818944454193115
1337,1,7,2,45,13,28,5.477240085601807,4.942456245422363,4.55566930770874,4.419732570648193,4.985496997833252,22,17,11,24,-0.5347838401794434,-0.4917430877685547,-1.0575075149536133
1337,1,7,3,106,39,25,1.642991065979004,1.6610325574874878,1.673751950263977,1.8087403774261475,1.656147837638855,20,15,10,21,0.018041491508483887,0.013156771659851074,0.16574931144714355
1337,1,7,4,57,58,14,1.9926345348358154,1.8719896078109741,1.9212820529937744,1.9749770164489746,1.8430325984954834,11,8,6,10,-0.12064492702484131,-0.14960193634033203,-0.01765751838684082
1337,1,7,5,7,8,23,2.970649003982544,2.957223415374756,3.004810094833374,4.781036376953125,2.9327139854431152,18,14,9,19,-0.013425588607788086,-0.03793501853942871,1.810387372970581
