active_cells,active_edges,average_path_length,longest_path,average_branching_factor,average_merge_factor
25,77,2.84,5,4.866666666666666,3.4761904761904763
21,61,2.5714285714285716,5,4.0,3.2941176470588234
22,56,3.590909090909091,7,4.076923076923077,2.789473684210526
22,67,2.772727272727273,5,4.285714285714286,3.3333333333333335
19,29,3.9473684210526314,6,4.5,1.588235294117647
24,56,3.625,6,4.636363636363637,2.55
20,28,1.75,4,3.0,1.5
22,68,2.6363636363636362,5,3.235294117647059,2.8947368421052633
19,29,3.9473684210526314,6,4.5,1.588235294117647
22,53,2.5454545454545454,6,4.428571428571429,2.2142857142857144
27,98,4.037037037037037,7,4.947368421052632,3.9166666666666665
21,68,2.7142857142857144,5,3.764705882352941,3.5555555555555554
24,71,3.125,5,4.153846153846154,2.4545454545454546
19,29,4.052631578947368,6,4.5,1.588235294117647
25,112,3.8,7,5.526315789473684,5.0
29,138,3.689655172413793,7,5.695652173913044,5.24
16,21,1.5,3,4.0,1.1428571428571428
21,56,2.857142857142857,5,3.727272727272727,2.1578947368421053
19,28,4.052631578947368,6,4.333333333333333,1.5294117647058822
25,111,3.8,7,5.473684210526316,4.9523809523809526
29,83,3.103448275862069,5,6.0,3.12
19,35,2.263157894736842,4,3.4,1.5454545454545454
24,86,2.7916666666666665,5,4.9375,3.95
24,70,2.625,5,4.333333333333333,3.25
22,65,2.6363636363636362,5,4.461538461538462,3.2222222222222223
19,26,2.526315789473684,4,3.4285714285714284,1.411764705882353
